,제주,경남,경북,전남,전북,충남,충북,강원,경기,세종,울산,대전,광주,인천,대구,부산,서울
2021년 07월 18일,1,22,87,17,60,44,71,53,666,1,40,28,24,61,222,127,527
2021년 07월 17일,1,22,87,17,60,44,71,53,664,1,40,28,24,61,222,127,527
2021년 07월 16일,1,22,87,17,60,44,71,53,663,1,40,28,24,61,222,127,525
2021년 07월 15일,1,22,87,17,60,44,71,53,663,1,40,28,24,61,222,126,525
2021년 07월 14일,1,22,87,17,60,44,71,53,662,1,40,28,24,61,222,126,524
2021년 07월 13일,1,22,86,17,60,44,71,53,662,1,40,28,24,61,222,126,523
2021년 07월 12일,1,22,86,17,60,43,71,53,661,1,40,28,24,61,222,126,523
2021년 07월 11일,1,22,86,17,60,43,71,53,660,1,40,28,24,61,222,126,523
2021년 07월 10일,1,21,86,17,60,43,71,53,659,1,40,27,24,61,222,126,521
2021년 07월 09일,1,21,86,17,60,43,71,53,659,1,40,27,24,61,222,126,519
2021년 07월 08일,1,21,86,17,59,43,71,53,659,1,40,27,24,61,222,126,518
2021년 07월 07일,1,21,86,17,59,43,71,53,658,1,40,27,24,61,222,126,518
2021년 07월 06일,1,21,86,16,59,43,71,53,658,1,40,27,24,61,222,126,518
2021년 07월 05일,1,21,86,16,59,43,71,53,656,1,40,27,24,61,222,125,517
2021년 07월 04일,1,21,86,16,59,43,71,53,655,1,40,27,24,61,222,125,516
2021년 07월 03일,1,21,86,16,59,43,71,53,654,1,40,27,24,61,222,125,516
2021년 07월 02일,1,21,86,16,59,43,71,53,654,1,40,27,24,61,222,125,515
2021년 07월 01일,1,20,86,16,59,43,70,53,654,1,40,27,24,61,222,125,514
2021년 06월 30일,1,20,86,15,59,43,70,53,654,1,40,27,24,61,222,124,513
2021년 06월 29일,1,20,86,15,59,42,70,53,654,1,40,27,24,61,222,124,513
2021년 06월 28일,1,20,86,15,59,42,70,53,652,1,40,27,24,61,222,124,513
2021년 06월 27일,1,20,86,15,59,42,70,52,652,1,40,27,24,61,222,124,512
2021년 06월 26일,1,20,86,15,58,42,70,52,652,1,40,27,24,61,222,124,512
2021년 06월 25일,1,20,86,15,58,41,70,52,651,1,40,27,24,61,222,124,511
2021년 06월 24일,1,20,86,15,58,41,70,52,651,1,40,27,24,61,222,124,510
2021년 06월 23일,1,20,86,15,58,41,70,52,650,1,40,27,24,61,222,124,510
2021년 06월 22일,1,20,86,15,58,41,70,52,650,1,40,27,24,61,222,124,509
2021년 06월 21일,1,20,86,15,58,41,69,52,650,1,40,27,24,61,222,124,508
2021년 06월 20일,1,20,86,15,58,41,69,52,650,1,40,27,23,61,222,124,507
2021년 06월 19일,1,20,86,15,58,41,69,51,649,1,40,25,23,61,222,124,506
2021년 06월 18일,1,20,86,15,58,41,69,51,649,1,40,25,23,61,222,124,505
2021년 06월 17일,1,20,86,15,58,41,69,51,648,1,40,25,23,61,222,124,504
2021년 06월 16일,1,20,86,15,58,41,69,51,648,1,40,25,23,61,222,124,503
2021년 06월 15일,1,20,86,15,58,41,69,51,648,1,40,25,23,61,222,124,502
2021년 06월 14일,1,20,86,15,58,39,69,51,648,1,40,25,22,61,222,124,501
2021년 06월 13일,1,19,86,15,58,39,68,51,647,1,40,25,22,61,222,124,501
2021년 06월 12일,1,19,86,15,58,39,68,51,646,1,40,25,22,61,222,124,499
2021년 06월 11일,1,19,86,15,58,39,68,51,645,1,40,25,22,61,222,124,499
2021년 06월 10일,1,19,86,15,58,39,68,51,643,1,40,25,22,61,222,124,499
2021년 06월 09일,1,19,85,15,58,39,68,51,643,1,40,24,22,61,222,124,499
2021년 06월 08일,1,19,85,15,58,39,68,51,642,1,40,24,22,61,222,124,498
2021년 06월 07일,1,19,85,15,58,39,68,51,642,1,40,24,22,61,222,124,497
2021년 06월 06일,1,19,85,15,58,39,68,51,641,1,40,24,22,61,222,124,497
2021년 06월 05일,1,19,85,15,58,39,68,51,641,1,40,24,22,61,222,124,496
2021년 06월 04일,1,19,85,15,58,39,68,51,639,1,40,24,22,61,222,124,496
2021년 06월 03일,1,19,85,15,58,39,68,51,639,1,40,24,22,61,222,124,495
2021년 06월 02일,1,19,85,15,58,39,68,51,639,1,40,24,22,61,222,124,492
2021년 06월 01일,1,19,85,15,58,39,68,51,639,1,40,24,22,61,221,124,491
2021년 05월 31일,1,19,85,15,58,39,68,51,638,1,40,24,22,61,221,124,488
2021년 05월 30일,1,19,85,14,58,39,68,51,637,1,40,24,22,61,221,124,488
2021년 05월 29일,1,19,85,14,58,38,68,51,634,1,40,24,22,61,221,124,486
2021년 05월 28일,1,19,85,14,58,37,68,51,631,1,40,24,22,61,221,124,485
2021년 05월 27일,1,19,85,14,58,37,68,51,631,1,40,24,22,61,221,124,482
2021년 05월 26일,1,19,84,14,58,37,68,51,630,1,40,24,22,61,221,124,481
2021년 05월 25일,1,19,84,13,58,37,68,51,630,1,40,24,22,61,221,124,480
2021년 05월 24일,1,19,83,12,58,37,68,51,628,1,40,24,22,61,221,124,480
2021년 05월 23일,1,19,82,12,58,37,68,50,627,1,40,24,22,61,221,124,480
2021년 05월 22일,1,19,82,12,58,37,68,50,625,1,39,23,22,61,221,123,480
2021년 05월 21일,1,19,82,12,58,37,68,50,624,1,39,22,22,60,221,123,479
2021년 05월 20일,1,19,81,12,58,37,68,50,623,1,39,22,22,60,221,123,475
2021년 05월 19일,1,19,81,12,58,37,68,50,621,1,39,21,22,60,221,123,474
2021년 05월 18일,1,19,81,12,58,36,68,50,617,1,39,21,22,60,221,122,472
2021년 05월 17일,1,19,80,12,58,36,68,50,617,1,39,21,22,60,221,122,472
2021년 05월 16일,1,19,79,12,58,36,68,50,617,1,39,20,22,60,221,122,471
2021년 05월 15일,1,19,79,12,58,36,68,50,616,1,39,20,22,60,221,122,468
2021년 05월 14일,1,19,79,12,58,36,67,50,615,1,38,20,22,60,221,122,468
2021년 05월 13일,1,19,79,12,58,36,66,50,614,1,38,20,22,60,221,122,468
2021년 05월 12일,1,19,79,11,58,36,65,50,611,1,38,20,22,60,221,122,466
2021년 05월 11일,1,19,79,11,58,36,65,50,608,1,38,20,22,60,221,122,464
2021년 05월 10일,1,19,78,11,58,36,65,50,607,1,38,20,22,60,221,122,462
2021년 05월 09일,1,19,78,11,58,36,65,50,606,1,38,20,22,60,221,122,462
2021년 05월 08일,1,19,78,11,58,36,65,50,602,1,38,19,22,59,221,122,459
2021년 05월 07일,1,19,78,11,58,36,64,50,601,1,38,18,22,59,221,122,457
2021년 05월 06일,1,19,78,11,58,36,64,50,597,1,38,17,22,59,221,122,453
2021년 05월 05일,1,19,78,11,58,36,64,50,594,1,38,17,22,59,221,122,452
2021년 05월 04일,1,18,78,10,58,36,64,50,589,1,38,17,22,59,221,122,452
2021년 05월 03일,1,17,78,10,58,36,64,50,585,1,38,17,22,59,221,122,451
2021년 05월 02일,1,17,78,10,58,36,64,50,584,1,38,17,22,59,221,122,451
2021년 05월 01일,1,17,78,10,58,36,64,50,583,1,38,17,22,59,221,122,450
2021년 04월 30일,1,17,78,10,58,36,64,50,582,1,38,17,22,59,221,122,448
2021년 04월 29일,1,17,78,10,58,36,64,50,581,1,38,17,22,59,220,122,447
2021년 04월 28일,1,17,78,10,58,36,64,50,579,1,38,17,22,59,220,122,445
2021년 04월 27일,1,17,78,10,58,36,64,50,578,1,38,17,22,59,220,122,445
2021년 04월 26일,1,17,78,10,58,36,64,50,577,1,38,17,21,59,220,121,445
