N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
110,한화시스템,"15,300",0,0.00%,"5,000","28,905","188,919",2.12,"332,628",18.55,9.35,
111,한국항공우주,"29,500",50,+0.17%,"5,000","28,755","97,475",11.91,"231,966",200.68,6.39,
112,현대미포조선,"71,900",500,+0.70%,"5,000","28,718","39,942",10.64,"245,851",-18.68,-0.84,
113,BNK금융지주,"8,800",50,+0.57%,"5,000","28,682","325,935",39.01,"1,077,699",3.52,6.11,
114,에스원,"75,100",600,-0.79%,500,"28,537","37,999",53.13,"47,884",18.77,10.48,
115,키움증권,"107,500",0,0.00%,"5,000","28,186","26,220",25.54,"44,948",3.09,27.63,
116,KCC,"314,500","5,500",+1.78%,"5,000","27,948","8,886",12.71,"30,782",3.97,12.79,
117,만도,"59,300","1,000",+1.72%,"1,000","27,846","46,957",21.42,"240,510",12.49,0.37,
118,녹십자,"229,500",500,+0.22%,"5,000","26,821","11,687",22.83,"31,817",31.09,7.48,
119,BGF리테일,"153,500","1,000",+0.66%,"1,000","26,531","17,284",32.44,"12,119",19.21,18.60,
120,제일기획,"23,000",350,+1.55%,200,"26,459","115,041",32.70,"239,885",13.55,16.11,
121,솔루스첨단소재,"85,800","1,000",+1.18%,100,"26,246","30,590",7.75,"388,395",-337.80,-5.10,
122,한화생명,"3,015",0,0.00%,"5,000","26,186","868,530",8.13,"1,203,932",3.42,1.90,
123,SK케미칼,"148,000",500,+0.34%,"5,000","26,079","17,621",16.33,"59,621",70.54,30.49,
124,씨에스윈드,"61,700",100,-0.16%,500,"26,020","42,171",11.13,"185,016",55.99,8.19,
125,포스코인터내셔널,"20,950",300,+1.45%,"5,000","25,847","123,375",6.48,"444,371",8.47,7.69,
126,대우조선해양,"23,950",400,+1.70%,"5,000","25,696","107,291",5.47,"186,151",-1.74,2.27,
127,OCI,"107,500","2,000",+1.90%,"5,000","25,638","23,849",18.16,"215,324",12.82,-9.89,
128,대우건설,"6,080",70,+1.16%,"5,000","25,270","415,623",10.93,"695,626",5.17,11.06,
129,롯데쇼핑,"88,800","1,000",-1.11%,"5,000","25,120","28,289",11.02,"60,738",-9.44,-7.70,
130,LG화학우,"323,000",0,0.00%,"5,000","24,835","7,689",70.22,"15,133",8.42,N/A,
131,CJ,"85,100",100,-0.12%,"5,000","24,830","29,177",17.40,"32,886",73.74,1.89,
132,KODEX 200선물인버스2X,"2,175",25,-1.14%,0,"24,684","1,134,900",3.53,"109,608,620",N/A,N/A,
133,효성티앤씨,"570,000","1,000",-0.18%,"5,000","24,668","4,328",18.88,"26,311",3.49,25.10,
134,한화,"32,300",200,+0.62%,"5,000","24,212","74,959",16.67,"201,281",5.46,4.79,
135,신세계,"245,500","4,500",-1.80%,"5,000","24,170","9,845",24.99,"44,024",9.23,-2.81,
136,현대차우,"99,000",500,+0.51%,"5,000","24,113","24,357",58.07,"33,951",5.02,N/A,
137,DL이앤씨,"122,000",0,0.00%,"5,000","23,618","19,359",25.45,"56,252",N/A,N/A,
138,한화에어로스페이스,"45,750",300,-0.65%,"5,000","23,163","50,630",16.71,"347,777",8.30,4.78,
139,한샘,"98,300","5,900",+6.39%,"1,000","23,134","23,534",17.98,"242,356",28.92,10.83,
140,더존비즈온,"75,700",500,+0.66%,500,"23,000","30,383",40.03,"32,328",37.05,15.09,
141,현대로템,"20,650",50,+0.24%,"5,000","22,538","109,142",4.13,"318,751",71.95,2.84,
142,현대해상,"24,750",150,-0.60%,500,"22,126","89,400",26.00,"282,899",5.78,7.13,
143,휠라홀딩스,"36,300",250,-0.68%,"1,000","22,053","60,752",44.76,"328,706",9.38,10.94,
144,일진하이솔루스,"59,900",400,-0.66%,500,"21,752","36,313",3.36,"127,780",111.75,34.27,
145,효성,"100,500",500,+0.50%,"5,000","21,176","21,071",8.25,"20,035",5.47,-2.26,
146,하이트진로,"30,100",200,-0.66%,"5,000","21,110","70,134",4.54,"175,451",41.01,8.23,
147,현대위아,"76,800",700,+0.92%,"5,000","20,886","27,195",6.59,"87,035",57.23,1.96,
148,TIGER 200,"39,810",260,+0.66%,0,"20,880","52,450",0.00,"460,484",N/A,N/A,
149,코오롱인더,"74,500",500,+0.68%,"5,000","20,502","27,519",19.18,"129,194",11.56,9.70,
150,롯데정밀화학,"78,200",800,+1.03%,"5,000","20,176","25,800",22.16,"69,889",4.73,12.65,
151,영원무역,"44,150",150,+0.34%,500,"19,564","44,311",27.92,"115,762",8.49,8.03,
152,후성,"20,700",100,+0.49%,500,"19,170","92,607",8.24,"1,334,859",69.70,2.79,
153,농심,"313,000","1,000",+0.32%,"5,000","19,039","6,083",12.84,"26,278",17.84,7.50,
154,두산,"114,500","1,000",+0.88%,"5,000","18,920","16,524",11.01,"46,223",-65.96,-34.34,
155,KODEX MSCI Korea TR,"12,790",50,+0.39%,0,"18,584","145,300",3.91,"283,558",N/A,N/A,
156,대웅,"31,900",200,+0.63%,500,"18,547","58,142",4.40,"57,992",17.57,15.10,
157,케이카,"37,800","1,200",+3.28%,500,"18,177","48,087",17.81,"463,029",62.79,15.11,
158,신풍제약,"34,150",500,-1.44%,500,"18,094","52,985",12.22,"631,043","5,691.67",1.72,
159,TIGER 미국나스닥100,"86,870","2,130",+2.51%,0,"18,052","20,780",0.01,"136,438",N/A,N/A,
160,한미반도체,"36,300",400,-1.09%,200,"17,954","49,460",6.37,"279,570",21.58,21.03,
161,한전KPS,"39,500",0,0.00%,200,"17,775","45,000",6.56,"116,277",14.71,8.23,
162,현대백화점,"74,600",400,-0.53%,"5,000","17,458","23,402",17.99,"56,148",11.28,1.65,
163,KODEX 레버리지,"23,780",295,+1.26%,0,"17,455","73,400",3.21,"16,423,395",N/A,N/A,
164,NHN,"89,000",700,-0.78%,500,"17,413","19,565",18.24,"103,677",53.61,1.35,
165,LS,"53,900",700,+1.32%,"5,000","17,356","32,200",14.37,"45,085",6.77,3.94,
166,대웅제약,"149,500",500,+0.34%,"2,500","17,322","11,587",6.58,"29,952",150.10,2.38,
167,오뚜기,"460,500","1,500",-0.32%,"5,000","16,909","3,672",12.11,"3,667",15.29,7.93,
168,현대엘리베이,"41,150",100,-0.24%,"5,000","16,795","40,815",28.78,"103,999",26.51,9.78,
169,JB금융지주,"8,480",90,+1.07%,"5,000","16,704","196,983",41.46,"243,910",3.50,10.06,
170,KODEX 단기채권,"103,070",20,+0.02%,0,"16,675","16,178",0.00,"6,549",N/A,N/A,
171,LS ELECTRIC,"55,400","2,100",+3.94%,"5,000","16,620","30,000",18.21,"69,445",20.51,6.15,
172,DGB금융지주,"9,660",30,+0.31%,"5,000","16,339","169,146",48.98,"227,807",3.45,6.93,
173,대한전선,"1,815",20,-1.09%,500,"15,545","856,473",2.55,"3,523,687",46.54,0.92,
174,한일시멘트,"22,350",600,-2.61%,500,"15,480","69,262",2.69,"273,873",14.72,N/A,
175,동국제강,"16,100",50,-0.31%,"5,000","15,365","95,433",23.46,"309,129",3.40,3.35,
176,HDC현대산업개발,"23,300",50,-0.21%,"5,000","15,356","65,907",10.73,"149,501",5.06,8.85,
177,동원시스템즈,"52,500","1,100",+2.14%,"5,000","15,324","29,188",13.21,"36,130",23.78,10.97,
178,PI첨단소재,"51,800","2,000",+4.02%,500,"15,212","29,366",13.97,"220,948",26.00,15.62,
179,KODEX 종합채권(AA-이상)액티브,"108,580",120,+0.11%,0,"15,055","13,865",0.00,"2,288",N/A,N/A,
180,명신산업,"28,650",350,-1.21%,500,"15,033","52,470",2.18,"896,821",-12.42,-67.39,
181,한국앤컴퍼니,"15,650",50,-0.32%,500,"14,857","94,935",9.82,"86,300",6.01,5.08,
182,아시아나항공,"19,850",50,+0.25%,"5,000","14,771","74,412",7.96,"242,980",-3.41,-43.83,
183,에스엘,"30,300",450,+1.51%,500,"14,606","48,203",15.75,"87,105",10.05,4.74,
184,TIGER 단기통안채,"100,480",10,+0.01%,0,"14,237","14,169",0.86,"6,982",N/A,N/A,
185,TIGER MSCI Korea TR,"16,115",85,+0.53%,0,"14,149","87,800",0.00,258,N/A,N/A,
186,롯데렌탈,"38,150",0,0.00%,"5,000","13,976","36,634",1.54,"62,587",13.23,6.73,
187,한화투자증권,"6,510",290,-4.26%,"5,000","13,967","214,548",6.13,"10,043,305",10.94,5.58,
188,롯데리츠,"5,630",10,+0.18%,500,"13,679","242,969",9.63,"156,413",35.19,1.68,
189,코스모신소재,"45,200",0,0.00%,"1,000","13,599","30,087",6.07,"371,504",57.95,7.16,
190,종근당,"119,000","2,000",+1.71%,"2,500","13,597","11,426",8.04,"31,690",25.99,17.88,
191,F&F홀딩스,"34,400",50,+0.15%,500,"13,455","39,114",0.90,"54,187",0.28,16.59,
192,아이에스동서,"43,500",150,+0.35%,500,"13,438","30,893",4.99,"81,472",24.91,10.92,
193,LIG넥스원,"60,900","1,100",-1.77%,"5,000","13,398","22,000",6.80,"214,118",14.20,8.86,
194,KODEX 삼성그룹,"9,935",80,+0.81%,0,"13,104","131,900",0.39,"189,011",N/A,N/A,
195,DL,"62,200",100,+0.16%,"5,000","13,035","20,956",12.67,"48,730",1.98,11.84,
196,프레스티지바이오파마,"21,650",600,-2.70%,0,"13,011","60,096",61.95,"136,889",-152.46,-1.78,
197,LG생활건강우,"616,000","4,000",-0.65%,"5,000","12,934","2,100",84.38,"3,083",12.82,N/A,
198,KODEX 200TR,"13,040",70,+0.54%,0,"12,870","98,700",0.02,"64,078",N/A,N/A,
199,대한유화,"196,000","5,000",-2.49%,"5,000","12,740","6,500",12.25,"59,971",6.09,6.93,
200,지누스,"80,300",800,+1.01%,500,"12,688","15,800",21.19,"22,662",35.37,11.61,
